id,name,year,designer,company,university,from
programming_language,"programming language",,,,,
ALGOL_58,"ALGOL 58","1958","Friedrich_Bauer,John_Backus,<others>",,,"FORTRAN,IT,Plankalkul,Sequentielle_Formelubersetzung"
PRINT,"PRINT","1955",,"IBM",,"<?>"
Freiburger_Code,"Freiburger Code","1955",,,"UFreiburg","<?>"
ALGOL_68,"ALGOL 68","1968","Adriaan_van_Wijngaarden,Barry_Mailloux,John_Peck,Cornelis_Koster,<others>",,,"ALGOL_68_concept"
Curry_notation_system,"Curry notation system","1948","Haskell_Curry",,,"ENIAC_Coding_System"
A-0,"A-0","1952","Grace_Hopper",,,"Short_Code"
LISP,"LISP","1959","John_McCarthy",,,"LISP_concept"
Brief_Code,"Brief Code","1949","John_Mauchly",,,"ENIAC_Short_Code"
Forth,"Forth","1970","Charles_Moore",,,"Forth_concept"
PILOT,"PILOT","1968","John_Starkweather",,"UCalifornia","Computest"
IT,"IT","1955","Alan_Perlis",,,"Laning_and_Zierler_system"
P'',"P''","1964","Corrado_Bohm",,,"<unique>"
Sequentielle_Formelubersetzung,"Sequentielle Formelubersetzung","1955","Fritz_Bauer,Karl_Samelson",,,"Boehm_unnamed_coding_system"
MAD,"Michigan Algorithm Decoder","1959","Bruce_Arden,Bernard_Galler,Robert_Graham",,,"ALGOL_58"
TRAC,"TRAC","1964","Calvin_Mooers",,,"TRAC_concept"
DIBOL-8,"DIBOL-8","1968",,"DEC",,"BASIC,FORTRAN_66,COBOL_61"
ENIAC_Short_Code,"ENIAC Short Code","1946",,,,"ENIAC_Coding_System"
B,"B","1969","Ken_Thompson,Dennis_Ritchie",,,"BCPL"
ALGOL_W,"ALGOL W","1966","Niklaus_Wirth,Tony_Hoare",,,"ALGOL_60"
COWSEL,"COWSEL","1964","Rod_Burstall,Robin_Popplestone",,,"CPL,LISP"
ALGAE,"ALGAE","1951","Edward_Voorhees,Karl_Balke",,,"<unique>"
Forth_concept,"Forth concept","1968","Charles_Moore",,,"LISP,APL"
GEORGE,"GEORGE","1957","Charles_Hamblin",,,"<unique>"
FORTRAN-IV,"FORTRAN-IV","1962",,"IBM",,"FORTRAN-II"
Simula_concept,"Simula concept","1962","Ole-Johan_Dahl,Kristen_Nygaard",,,"ALGOL_60"
COBOL_61,"COBOL 61","1960",,,,"COBOL_concept,FLOW-MATIC,COMTRAN"
Rochester_Assembler,"Rochester Assembler","1951","Nat_Rochester",,,
COMIT,"COMIT","1961","Victor_Yngve","MIT",,"COMIT_concept"
Stanislaus,"Stanislaus","1951","Fritz_Bauer",,,"<unique>"
Regional_Assembly_Language,"Regional Assembly Language","1951","Maurice_Wilkes",,,
Whirlwind_Assembler,"Whirlwind Assembler","1951","Charles_Adams,Jack_Gilmore",,,
BACAIC,"BACAIC","1955","M_Grems,R_Porter",,,"<?>"
POP-2,"POP-2","1970","Robin",,,"POP-1"
TUTOR,"TUTOR","1969","Paul_Tenczar",,"UIllinois","TenCORE,USE"
Speakeasy-2,"Speakeasy-2","1964","Stanley_Cohen","ANL",,"<unique>"
MAD/I_concept,"MAD/I concept","1965",,,"UMichigan","MAD,ALGOL_60,PL/I_concept"
XPL,"XPL","1967","William_McKeeman,Jim_Horning",,"UCalifornia,UStanford","PL/I"
Laning_and_Zierler_system,"Laning and Zierler system","1954",,,,"<unique>"
FARGO,"FARGO","<?>",,"IBM",,"<?>"
TTM,"TTM","1968","Steven_Caine,Kent_Gordon",,"CIT","GAP,GPM"
IPL-V,"IPL-V","1958","Allen_Newell,Cliff_Shaw,Herbert_Simon","RAND_Corporation",,"IPL-II"
SNOBOL3,"SNOBOL3","1963","Ralph_Griswold,<others>",,,"FORTRAN-II,COMIT"
Computest,"Computest","1962","John_Starkweather",,"UCalifornia","<?>"
FLOW-MATIC,"FLOW-MATIC","1955","Grace_Hopper",,,"A-0"
LISP_concept,"LISP concept","1956","John_McCarthy",,,"IPL-I_concept"
MIMIC,"MIMIC","1964","E_Petersen",,,"MIDAS"
Sort_Merge_Generator,"Sort Merge Generator","1951","Betty_Holberton",,,"<unique>"
Intermediate_Programming_Language,"Intermediate Programming Language","1951","Arthur_Burks",,,"Short_Code"
IPL-I_concept,"IPL-I concept","1954","Allen_Newell,Cliff_Shaw,Herbert_Simon",,,"<unique>"
COMIT_concept,"COMIT concept","1957","Victor_Yngve","MIT",,"<unique>"
Von_Neumann_and_Goldstine_graphing_system,"Von Neumann and Goldstine graphing system","1946","John_von_Neumann,Herman_Goldstine",,,"ENIAC_Coding_System"
MAPPER,"MAPPER","1968",,"Unisys",,"CRT_RPS"
LOGO,"LOGO","1968","Wally_Feurzeig,Seymour_Papert,Cynthia_Solomon",,,"LISP"
PPL,"Polymorphic Programming Language","1969","Thomas_Standish",,"UHarvard","APL"
FACT,"FACT","1959","Fletcher_Jones,Roy_Nutt,Robert_Patrick",,,"<unique>"
BCPL,"BCPL","1967","Martin_Richards",,,"CPL"
POP-1,"POP-1","1968","Rod_Burstall,Robin_Popplestone",,,"COWSEL"
ARC_Assembly,"ARC Assembly","1947","Kathleen_Booth",,,"ENIAC_Coding_System"
MIDAS,"Modified Integration Digital Analog Simulator (MIDAS)","<?>",,,,"<?>"
APL_concept,"APL concept","1962","Kenneth_Iverson",,,"<unique>"
REFAL,"REFAL","1968","Valentin_Turchin",,,"<unique>"
SPL,"Space Programming Language","1967",,"SDC",,"JOVIAL"
SNOBOL4,"SNOBOL4","1967","Ralph_Griswold,<others>",,,"SNOBOL3"
Mark_I_Autocode,"Mark I Autocode","1954","Tony_Brooker",,,"Glennie_Autocode"
EXAPT,"EXAPT","1967","Herwart_Opitz,Wilhelm_Simon,Gunter_Spur,Gottfried_Stute",,"RWTH_Aachen_University,TUBerlin","APT"
Edinburgh_IMP,"Edinburgh IMP","1969",,,"UEdinburgh","Algol_60,Autocode,Atlas_Autocode"
UNICODE,"UNICODE","1957",,,,"MATH-MATIC"
Atlas_Autocode,"Atlas Autocode","1965","Tony_Brooker,Derrick_Morris",,"UManchester","Algol_60,Mark_I_Autocode"
RPG-II,"RPG-II","1965",,"IBM",,"FARGO,RPG"
CPC_Coding_scheme,"CPC Coding scheme","1948","Howard_Aiken",,,"Analytical_Engine_order_code"
CRT_RPS,"CRT RPS","196x","Louis_Schlueter",,,"<?>"
Editing_Generator,"Editing Generator","1952","Milly_Koss",,,"Sort_Merge_Generator"
CPL,"CPL","1963","Christopher_Strachey",,,"ALGOL_60"
JOSS-I,"JOSS-I","1963","Cliff_Shaw","RAND_Corporation",,"ALGOL_58"
MATH-MATIC,"MATH-MATIC","1954","Charles_Katz",,,"A-0"
APL,"APL","1966","Kenneth_Iverson",,,"APL_concept"
READ/PRINT,"READ/PRINT","1953","Don_Harroff,James_Fishman,George_Ryckman",,,"<unique>"
ALGOL_60,"ALGOL 60","1960",,,,"ALGOL_58"
Birkbeck_Assembler,"Birkbeck Assembler","1950","Kathleen_Booth",,,"ARC_Assembly"
SETL,"SETL","1969","Jack_Schwartz",,"CIMS","ALGOL_60"
MATRIX_MATH,"MATRIX MATH","1954","G_Kahrimanian",,,"<unique>"
APT,"APT","1959","Douglas_Ross",,,"<?>"
FORTRAN-II,"FORTRAN-II","1958","John_Backus","IBM",,"FORTRAN-I"
JOVIAL,"JOVIAL","1959","Jules_Schwartz","SDC",,"ALGOL_58"
Mark-IV,"Mark-IV","1964",,"Informatics",,"<?>"
PL/I,"PL/I","1969",,"IBM",,"PL/I_concept"
ISWIM_concept,"ISWIM concept","1966","Peter_Landin",,,"LISP"
Glennie_Autocode,"Glennie Autocode","1952","Alick_Glennie,Alan_Turing",,,"CPC_Coding_scheme"
COMTRAN,"COMTRAN","1957","Bob_Bemer",,,"FLOW-MATIC"
Klammerausdrucke,"Klammerausdrucke","1951","Konrad_Zuse",,,"Plankalkul"
Analytical_Engine_order_code,"Analytical Engine order code","<?>",,,,
COBOL_concept,"COBOL concept","1959",,,,"FLOW-MATIC,COMTRAN,FACT"
COMPOOL,"COMPOOL","1952","RAND_Corporation,SDC",,,"<unique>"
Pascal,"Pascal","1970","Niklaus_Wirth,Kathleen_Jensen",,,"ALGOL_60,ALGOL_W"
Simula_67,"Simula 67","1967","Ole-Johan_Dahl,Bjorn_Myhrhaug,Kristen_Nygaard","Norsk_Regnesentral",,"Simula_concept"
FORTRAN_66,"FORTRAN 66","1966",,,,"FORTRAN-IV"
Speedcoding,"Speedcoding","1953","John_Backus",,,"<unique>"
MUMPS,"MUMPS","1967",,"Massachusetts_General_Hospital",,"JOSS-II,FORTRAN-IV,TELCOMP"
PACT-I,"PACT-I","1955",,,,"Fortran,A-2"
OMNIBAC_Symbolic_Assembler,"OMNIBAC Symbolic Assembler","1951","Charles_Katz",,,"Short_Code"
JOSS-II,"JOSS-II","1966","Chuck_Baker","RAND_Corporation",,"JOSS-I"
BASIC,"BASIC","1964","John_Kemeny,Thomas_Kurtz","CDartmouth",,"FORTRAN-II,JOSS-I"
ENIAC_Coding_System,"ENIAC Coding System","1943","John_von_Neumann,Presper_Eckert,Alan_Turing",,,"<unique>"
TELCOMP,"TELCOMP","1965",,"BBN",,"JOSS-I"
SNOBOL,"SNOBOL","1962","Ralph_Griswold,<others>",,,"FORTRAN-II,COMIT"
IITRAN,"IITRAN","~1964",,"IIT",,"PL/I_concept"
FORTRAN-I,"FORTRAN-I","1957","John_Backus","IBM",,"Fortran_concept"
InterLisp,"InterLisp","1967","Danny_Bobrow,D_Murphy",,,"LISP"
Boehm_unnamed_coding_system,"Boehm unnamed coding system","1951","Corrado_Bohm",,,"CPC_Coding_scheme"
Short_Code,"Short Code","1950","William_Schmidt",,,"Brief_Code"
TRAC_concept,"TRAC concept","1959","Calvin_Mooers",,,"<?>"
ARITH-MATIC,"ARITH-MATIC","1954","Grace_Hopper","UNIVAC",,"A-0"
Fortran_concept,"Fortran concept","1954","John_Backus",,,"Speedcoding"
Superplan,"Superplan","1951","Heinz_Rutishauser",,,"Plankalkul"
CORAL66,"CORAL66","1966",,"RRE",,"ALGOL_60"
Plankalkul,"Plankalkül","1943","Konrad_Zuse",,,"<unique>"
IPL-II,"IPL-II","1958","Allen_Newell,Cliff_Shaw,Herbert_Simon","RAND_Corporation",,"IPL-I_concept"
PL/I_concept,"PL/I concept","1964","Rod_Burstall,Robin_Popplestone",,,"ALGOL_60,COBOL_61,FORTRAN-II"
ALGOL_68_concept,"ALGOL 68 concept","1963","Adriaan_van_Wijngaarden,<others>",,,"ALGOL_60"
RPG,"RPG","1964",,"IBM",,"FARGO"
markup_language,"markup language",,,,,
GML,"GML","1969","Charles_Goldfarb,Edward_Mosher,Raymond_Lorie","IBM",,"<unique>"
HTML,"HTML","1993",,,,"SGML"
SGML,"SGML","196x",,,,"GML"
