language,year,town,lat,lon
Python,1991,Amsterdam,52.37,4.89
Lua,1993,Rio_de_Janeiro,-22.91,-43.18
Crystal,2014,Buenos_Aires,-34.60,-58.38
GDScript,2001,Buenos_Aires,-34.60,-58.38
OPL,1984,London,51.50,-0.12
Atlas Autocode,1965,Manchester,53.48,-2.24
CORAL66,1966,Malvern,52.13,-2.32
occam 2,1987,Bristol,51.45,-2.58
BBC BASIC,1980,Cambridge,52.20,0.11
Magik,1989,Cambridge,52.20,0.11
Erlang,1986,Stockholm,59.32,18.06
Simula 67,1967,Oslo,59.91,10.75
Modula-2,1979,Zurich,47.37,8.54
Component Pascal,1997,Zurich,47.37,8.54
RAPID,1994,Zurich,47.37,8.54
ABAP,1983,Walldorf,49.30,8.64
EXAPT,1967,Berlin,52.52,13.40
PureBasic,1998,Fegersheim,48.48,7.67
Ada 80,1980,Les_Clayes-sous-Bois,48.82,1.97
LIS,1973,Les_Clayes-sous-Bois,48.82,1.97
OptimJ,2006,Paris,48.85,2.35
Opa,2011,Paris,48.85,2.35
Ada 83,1983,La_Celle-Saint-Cloud,48.84,2.13
Kotlin,2011,Prague,50.07,14.43
Edinburgh IMP,1969,Edinburgh,55.95,-3.18
Links,2006,Edinburgh,55.95,-3.18
TUTOR,1969,Champaign,40.11,-88.24
Mathematica,1987,Champaign,40.11,-88.24
Pikt,1998,Chicago,41.87,-87.62
IITRAN,~1964,Chicago,41.87,-87.62
Speakeasy-2,1964,Lemont,41.67,-88.00
Speakeasy-3,1973,Lemont,41.67,-88.00
Oxygen,2005,Hanover_Park,41.99,-88.14
Lasso,1996,Fort_Lauderdale,26.12,-80.13
S,1976,Murray_Hill,40.74,-73.97
rc,1989,Murray_Hill,40.74,-73.97
AMPL,1990,Murray_Hill,40.74,-73.97
ZPL,1993,Seattle,47.60,-122.33
Chapel,2009,Seattle,47.60,-122.33
IBM BASICA,1981,Redmond,47.67,-122.12
Windows PowerShell,2006,Redmond,47.67,-122.12
VBScript,1996,Redmond,47.67,-122.12
Apple III Microsoft BASIC,1980,Redmond,47.67,-122.12
GW-BASIC,1983,Redmond,47.67,-122.12
QuickBASIC,1985,Redmond,47.67,-122.12
Visual Basic .NET,2001,Redmond,47.67,-122.12
MBASIC,197x,Redmond,47.67,-122.12
TypeScript,2012,Redmond,47.67,-122.12
C#,2000,Redmond,47.67,-122.12
MAPPER,1968,Blue_Bell,40.15,-75.26
RPG-IV,2001,Armonk,41.12,-73.71
FORTRAN-II,1958,Armonk,41.12,-73.71
FORTRAN-IV,1962,Armonk,41.12,-73.71
RPG-III,1978,Armonk,41.12,-73.71
REXX,1979,Armonk,41.12,-73.71
FARGO,<?>,Armonk,41.12,-73.71
FORTRAN-I,1957,Armonk,41.12,-73.71
SQL,1972,Armonk,41.12,-73.71
RPG-II,1965,Armonk,41.12,-73.71
RPG,1964,Armonk,41.12,-73.71
PRINT,1955,Armonk,41.12,-73.71
PL/I,1969,Armonk,41.12,-73.71
RPG/400,1988,Armonk,41.12,-73.71
SETL,1969,New_York,40.71,-74.00
ELI,2011,New_York,40.71,-74.00
Mark-IV,1964,Los_Angeles,34.05,-118.24
JOSS-I,1963,Santa-Monica,34.01,-118.49
IPL-II,1958,Santa-Monica,34.01,-118.49
COMPOOL,1952,Santa-Monica,34.01,-118.49
IPL-V,1958,Santa-Monica,34.01,-118.49
SIMSCRIPT,1963,Santa-Monica,34.01,-118.49
JOSS-II,1966,Santa-Monica,34.01,-118.49
JOVIAL,1959,Santa-Monica,34.01,-118.49
Space Programming Language,1967,Santa-Monica,34.01,-118.49
RPL,1984,Palo_Alto,37.44,-122.14
AutoLISP,1986,San_Rafael,37.97,-122.53
TTM,1968,Pasadena,34.14,-118.14
LiveScript,1995,Mountain_View,37.38,-122.08
JavaScript,1995,Mountain_View,37.38,-122.08
Yellow-SRI,1977,Menlo_Park,37.45,-122.18
Dart,2011,Menlo_Park,37.45,-122.18
Go,2009,Menlo_Park,37.45,-122.18
Hack,2014,Menlo_Park,37.45,-122.18
Informix-4GL,1986,Menlo_Park,37.45,-122.18
Self concept,1987,Menlo_Park,37.45,-122.18
Java,1995,Menlo_Park,37.45,-122.18
Self,1993,Menlo_Park,37.45,-122.18
Gosu,2002,Foster_City,37.55,-122.27
BASIC FOUR,1974,Irvine,33.68,-117.82
BASIC A+,1983,Cupertino,37.32,-122.03
HyperTalk,1987,Cupertino,37.32,-122.03
AppleScript,1993,Cupertino,37.32,-122.03
Squeak Smalltalk,1997,Cupertino,37.32,-122.03
Swift,2014,Cupertino,37.32,-122.03
Clascal,1983,Cupertino,37.32,-122.03
Object Pascal,1986,Cupertino,37.32,-122.03
Applesoft-III,1980,Cupertino,37.32,-122.03
Dylan,1992,Cupertino,37.32,-122.03
